"","words","n","pos","neg"
"1",":(",3026,1,3025
"2",":)",2630,2630,0
"3","follow",631,385,246
"4","thank",613,519,94
"5","im",559,185,374
"6",":-)",503,503,0
"7","love",463,335,128
"8","like",362,186,176
"9","get",348,166,182
"10",":-(",332,0,332
"11","pleas",322,81,241
"12","go",303,123,180
"13","day",294,180,114
"14","good",273,190,83
"15","see",260,156,104
"16","want",256,71,185
"17","miss",255,16,239
"18","know",239,128,111
"19","back",236,139,97
"20","cant",236,44,192
"21","time",223,98,125
"22","amp",220,149,71
"23","one",210,92,118
"24","hope",204,113,91
"25","work",190,89,101
"26","look",188,111,77
"27","much",187,71,116
"28","hi",181,154,27
"29","today",181,94,87
"30","happi",178,160,18
"31","realli",169,64,105
"32","feel",163,33,130
"33","you",162,108,54
"34","make",159,69,90
"35","new",157,114,43
"36","great",151,136,15
"37","that",150,78,72
"38","need",148,62,86
"39","got",142,57,85
"40","lt3",141,119,22
"41","still",141,37,104
"42","come",136,63,73
"43","us",134,96,38
"44","well",132,78,54
"45","sorri",130,13,117
"46","ill",128,81,47
"47","it",125,80,45
"48","let",125,90,35
"49","would",124,70,54
"50","oh",122,44,78
"51","week",120,73,47
"52","think",118,54,64
"53","sad",113,6,107
"54","sleep",106,35,71
"55","peopl",102,45,57
"56","friday",101,91,10
"57",":p",100,100,0
"58",":))",98,98,0
"59","lot",98,80,18
"60","wanna",98,22,76
"61","ive",97,25,72
"62","alway",96,48,48
"63","snapchat",95,31,64
"64","guy",93,48,45
"65","tri",92,34,58
"66","last",91,39,52
"67","start",91,55,36
"68","night",90,57,33
"69","wait",90,54,36
"70","wish",90,28,62
"71","yes",90,55,35
"72","morn",89,66,23
"73","say",89,42,47
"74","thing",89,47,42
"75","nice",88,71,17
"76","watch",88,32,56
"77","help",84,40,44
"78","keep",84,53,31
"79","weekend",82,61,21
"80","via",81,73,8
"81","hey",80,60,20
"82","soon",79,38,41
"83","tweet",79,51,28
"84","even",78,26,52
"85","talk",78,37,41
"86","friend",77,46,31
"87","me",77,24,53
"88","right",77,38,39
"89","could",76,25,51
"90","play",76,37,39
"91","lol",75,45,30
"92","never",73,31,42
"93","bad",72,14,58
"94","home",72,20,52
"95","year",72,35,37
"96","better",71,40,31
"97","kik",71,16,55
"98","someon",70,29,41
"99","birthday",69,53,16
"100","give",69,42,27
"101","haha",69,45,24
"102","next",68,37,31
"103","enjoy",67,60,7
"104","find",67,22,45
"105","take",67,30,37
"106","everyon",66,45,21
"107","fuck",66,20,46
"108","fun",65,45,20
"109","yeah",65,30,35
"110","best",64,48,16
"111","sure",64,38,26
"112","way",64,33,31
"113","life",63,34,29
"114","too",63,42,21
"115","use",63,32,31
"116","first",62,40,22
"117","arriv",61,57,4
"118","unfollow",61,53,8
"119","alreadi",60,19,41
"120","gonna",60,16,44
"121","long",60,27,33
"122","though",60,16,44
"123","cute",59,22,37
"124","okay",59,31,28
"125","omg",59,12,47
"126","tomorrow",59,31,28
"127","welcom",59,54,5
